SIGLA;DESCRICAO;NIVEL ENSINO;CH HORA RELOGIO;CH HORA AULA;CH QTD CREDITOS;ATIVO;SIGLA QACADEMICO;OBSERVACAO
TEC.0666;Seminário de Integração Acadêmica;Graduação;4;5;0;Sim;TEC.412.0011;Curso 457
TEC.0702;Seminário de Integração Acadêmica;Graduação;4;5;0;Sim;TEC.806.0027;-
TEC.0750;Seminário de Integração Acadêmica;Graduação;4;5;0;Sim;TEC.809.0025;Curso 809
TEC.0798;Seminário de Integração Acadêmica;Graduação;4;5;0;Sim;TEC.014.0001;Curso 014
EJA.0052;Seminário de Integração Acadêmica;Médio;10;13;1;Sim;TEJA.305.0020;Curso 305
EJA.0070;Seminário de Integração Acadêmica;Médio;10;13;1;Sim;TEJA.510.0018;Curso 524
EJA.0092;Seminário de Integração Acadêmica;Médio;10;13;1;Sim;TEJA.417.0020;Curso 417
TIN.0446;Seminário de Integração Acadêmica;Médio;10;13;1;Sim;TIN.112.0014;-
EJA.0133;Seminário de Integração Acadêmica;Médio;10;13;1;Sim;TEJA.102.0030;Curso 102
EJA.0153;Seminário de Integração Acadêmica;Médio;10;13;1;Sim;TEJA.410.0015;Curso 410
EJA.0159;Seminário de Integração Acadêmica;Médio;10;13;1;Sim;TEJA.418.0020;Curso 436
EJA.0188;Seminário de Integração Acadêmica;Médio;10;13;1;Sim;TEJA.104.0005;Curso 104
EJA.0224;Seminário de Integração Acadêmica;Médio;10;13;1;Sim;TEJA.420.0021;Curso 420
TEC.0830;Seminário de Integração Acadêmica;Graduação;4;5;0;Sim;TEC.505.0021;Curso 505
TIN.0899;Seminário de Integração Acadêmica;Médio;10;13;1;Sim;-;.
TEC.0942;Seminário de Integração Acadêmica;Graduação;4;5;0;Sim;-;Curso 33
TIN.0926;Seminário de Integração Acadêmica;Médio;10;13;1;Sim;-;Curso 19034
TIN.0942;Seminário de Integração Acadêmica;Médio;10;13;1;Sim;-;Curso 028
ENG.0057;Seminário de Integração Acadêmica;Graduação;4;4;0;Sim;-;Curso 209
TEC.0980;Seminário de Integração Acadêmica;Graduação;4;5;0;Sim;TEC.208.0026;Curso 208
LIC.0662;Seminário de Integração Acadêmica;Graduação;4;5;0;Sim;-;Curso 710
TCON.0023;Seminário de Integração Acadêmica;Médio;10;13;1;Sim;-;Matriz 309
